Time,Inspector1Busy,Inspector2Busy,WorkStation1Busy,W1Buffer0,Workstation2Busy,W2Buffer0,W2Buffer1,W3Busy,W3Buffer0,W3Buffer1,Component1Produced,Component2Produced,Component3Produced,,,,
805.8486411,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
823.3334905,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
825.914746,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
827.6688578,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
829.3346728,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
852.8230181,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
857.4056093,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
861.1311822,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
861.3790213,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
864.6872777,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
867.6877481,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
868.3646291,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
877.7860928,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
878.3337335,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
878.9167884,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
879.1447538,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
892.4830575,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
901.9639892,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
918.4965528,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
922.6548563,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
922.7116272,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
929.611633,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
935.119601,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
936.1914992,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
945.2425003,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
954.9596619,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
959.3377379,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
962.2705777,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
967.6798812,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
969.8360795,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
980.7198968,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
981.2220629,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
986.8605611,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
990.6055144,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
992.0013192,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
994.082373,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
999.6714121,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1005.766278,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1007.034762,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1022.577198,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1022.974073,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1025.618808,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1028.827073,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1032.15022,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1046.488533,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1048.102767,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1056.658624,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1061.704791,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1063.999591,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1065.476839,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1069.887526,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1073.921805,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1079.715252,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1081.529896,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1097.101667,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1100.231425,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1102.70249,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1108.741568,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1111.009978,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1123.87407,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1133.363462,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1141.339161,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1143.973307,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1146.471727,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1152.077751,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1157.248369,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1166.600609,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1167.695173,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1169.677583,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1170.312563,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1170.95317,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1174.456409,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1175.044551,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1175.333255,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1176.354326,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1177.369574,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1186.96,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1194.127323,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1196.572167,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1198.750517,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1204.185625,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1231.492732,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1237.120736,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1242.016851,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1244.251614,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1247.957093,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1252.099454,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1293.883079,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1307.393062,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1322.626829,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1322.885594,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1337.024066,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1337.651232,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1342.056991,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1343.486435,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1351.372093,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1355.789234,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1357.132478,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1363.73462,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1371.424323,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1376.30902,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1386.746621,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1391.068219,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1393.73068,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1395.883645,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1397.152154,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1399.721692,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1402.087626,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1407.897232,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1410.34993,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1427.624519,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1429.009604,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1429.872908,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1432.207763,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1435.003692,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1436.691001,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1436.749987,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1440.079719,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1451.698621,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1454.70322,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1468.858572,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1471.432625,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1471.78993,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1504.193727,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1515.609446,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1519.949275,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1523.055715,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1524.264674,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1526.873879,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1527.714642,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1569.872629,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1571.457343,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1591.574957,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1592.212761,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1604.578086,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1604.775745,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1617.48237,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1619.011676,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1665.664204,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1670.158027,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1673.915002,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1679.840778,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1684.313077,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1689.201997,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1697.533729,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1705.801718,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1707.596963,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1709.484888,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1712.643605,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1716.198221,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1720.968937,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1723.286966,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1725.009063,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1725.892063,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1738.799856,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1739.545406,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1740.438778,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1759.278817,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1769.278949,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1790.300701,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1790.972265,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1793.165474,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1795.657523,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1796.421436,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1796.60368,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1797.826068,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1799.98966,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1802.696153,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1807.029661,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1815.553838,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1818.704836,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1825.051999,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
1837.740626,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
1841.659238,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
